car_type,brand_name,model,price,year,total_km,location,engine_type,transmission
MPV,Suzuki,Ertiga,120000000,2016,127000.0,Bekasi,Bensin,Manual
MPV,Toyota,Veloz,145000000,2016,120000.0,Unknown,Bensin,Otomatis
MPV,Daihatsu,Xenia,125000000,2015,69195.0,Pekanbaru,Bensin,Manual
MPV,Toyota,Avanza,88000000,2008,130699.0,Unknown,Bensin,Manual
MPV,Toyota,Avanza,125000000,2018,133215.0,Unknown,Bensin,Manual
MPV,Toyota,Avanza,142000000,2016,116744.0,Pekanbaru,Bensin,Manual
MPV,Daihatsu,Xenia,135000000,2015,11804.0,Pekanbaru,Bensin,Manual
MPV,Nissan,Grand Livina,82000000,2011,150051.0,Unknown,Bensin,Manual
MPV,Toyota,Kijang Innova,175000000,2008,191225.0,Unknown,Diesel,Otomatis
MPV,Toyota,Kijang Innova,325000000,2018,89305.0,Unknown,Diesel,Otomatis
MPV,Toyota,Avanza,152000000,2017,85969.0,Pekanbaru,Bensin,Manual
MPV,Toyota,Calya,115000000,2016,141799.0,Unknown,Bensin,Otomatis
MPV,Nissan,Grand Livina,105000000,2013,168307.0,Unknown,Bensin,Otomatis
MPV,Mitsubishi,Xpander,215000000,2021,62000.0,Denpasar,Bensin,Manual
MPV,Mitsubishi,Xpander,245000000,2021,50000.0,Unknown,Bensin,CVT
MPV,Nissan,Serena,92000000,2010,147540.0,Unknown,Bensin,Otomatis
MPV,Suzuki,Ertiga,215000000,2023,30000.0,Denpasar,Hybrid,Otomatis
MPV,Daihatsu,Grand,200000000,2023,34000.0,Denpasar,Bensin,Otomatis
MPV,Toyota,Calya,129000000,2020,32000.0,Jember,Bensin,Manual
MPV,Toyota,Avanza,149000000,2019,80000.0,Denpasar,Bensin,Otomatis
MPV,Toyota,Avanza Veloz,158000000,2017,47000.0,Denpasar,Bensin,Otomatis
MPV,Toyota,Calya,100000000,2017,92000.0,Jember,Bensin,Manual
MPV,Toyota,Kijang Innova,175000000,2014,140319.0,Tegal,Bensin,Otomatis
MPV,Toyota,Avanza Veloz,115000000,2012,140940.0,Unknown,Bensin,Otomatis
MPV,Daihatsu,Xenia,90000000,2011,112000.0,Denpasar,Bensin,Otomatis
MPV,Toyota,Calya,127000000,2023,21000.0,Jember,Bensin,Manual
MPV,Honda,Mobilio,150000000,2016,99000.0,Jember,Bensin,CVT
MPV,Honda,Mobilio,130000000,2014,178000.0,Tegal,Bensin,CVT
MPV,Toyota,Avanza,100000000,2012,201000.0,Jember,Bensin,Manual
MPV,Toyota,Kijang Innova,187000000,2009,185000.0,Jember,Diesel,Manual
MPV,Toyota,Avanza,115000000,2012,266728.0,Malang,Bensin,Manual
MPV,Toyota,Calya,108000000,2019,110010.0,Tegal,Bensin,Manual
MPV,Toyota,Calya,133000000,2021,18000.0,Jember,Bensin,Manual
MPV,Toyota,Avanza,148000000,2019,42000.0,Jember,Bensin,Manual
MPV,Honda,Mobilio,155000000,2018,82239.0,Malang,Bensin,CVT
MPV,Toyota,Calya,132000000,2022,23000.0,Jember,Bensin,Manual
MPV,Daihatsu,Sigra,104000000,2021,21000.0,Jember,Bensin,Manual
MPV,Toyota,Alphard,340000000,2013,125452.0,Karawang,Bensin,Otomatis
MPV,Honda,Freed,115000000,2011,130111.0,Karawang,Bensin,Otomatis
MPV,Daihatsu,Sigra,102000000,2023,18000.0,Jember,Bensin,Manual
MPV,Daihatsu,Sigra,110000000,2022,52000.0,Jember,Bensin,Manual
MPV,Daihatsu,Sigra,130000000,2023,16300.0,Malang,Bensin,Manual
MPV,Daihatsu,Sigra,100000000,2021,52000.0,Jember,Bensin,Manual
MPV,Toyota,Alphard,310000000,2011,156000.0,Bekasi,Bensin,Otomatis
MPV,Mitsubishi,Xpander,184000000,2019,51000.0,Jember,Bensin,Manual
MPV,Toyota,Alphard,880000000,2022,61000.0,Bekasi,Bensin,CVT
MPV,Daihatsu,Xenia,170000000,2022,49000.0,Jember,Bensin,CVT
MPV,Toyota,Rush,215000000,2019,99000.0,Denpasar,Bensin,Otomatis
MPV,Toyota,Kijang Innova,468000000,2019,14713.0,Yogyakarta,Diesel,Manual
MPV,Honda,Mobilio,165000000,2017,34494.0,Yogyakarta,Bensin,Otomatis
MPV,Honda,Mobilio,165000000,2017,34496.0,Yogyakarta,Bensin,Otomatis
MPV,Toyota,Avanza,126000000,2015,106846.0,Tangerang Selatan,Bensin,Manual
MPV,Mitsubishi,Xpander,220000000,2019,70000.0,Denpasar,Bensin,Otomatis
MPV,Nissan,Serena,168000000,2016,115761.0,Yogyakarta,Bensin,Otomatis
MPV,Mitsubishi,Xpander,230000000,2018,57000.0,Denpasar,Bensin,CVT
MPV,Mitsubishi,Xpander,299000000,2024,19763.0,Yogyakarta,Bensin,Otomatis
MPV,Toyota,Rush,215000000,2021,76152.0,Tangerang Selatan,Bensin,Otomatis
MPV,Nissan,Grand Livina,107000000,2017,90388.0,Tangerang Selatan,Bensin,CVT
MPV,Toyota,Kijang Innova,155000000,2015,111637.0,Tangerang Selatan,Bensin,Otomatis
MPV,Toyota,Calya,155000000,2018,91431.0,Jakarta Utara,Bensin,Otomatis
MPV,Toyota,Avanza,110000000,2013,125000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Calya,165000000,2022,25000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,355000000,2022,39000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Calya,140000000,2020,69000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,285000000,2024,78193.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,329000000,2020,112000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Calya,155000000,2023,24000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Veloz,255000000,2023,17000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,398000000,2023,13000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Veloz,216000000,2022,19000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Avanza,215000000,2021,48000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,300000000,2020,41000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,183000000,2019,56481.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,320000000,2019,78000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,280000000,2018,138000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,260000000,2018,35000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Nissan,Grand Livina,147000000,2017,104000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,162000000,2017,75000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,288000000,2017,50000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Daihatsu,Xenia,135000000,2016,90000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,220000000,2016,86000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,260000000,2016,137507.0,Jakarta Pusat,Bensin,Otomatis
MPV,Nissan,Grand Livina,95000000,2012,134000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,135000000,2011,185000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,219000000,2022,50000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,299000000,2019,53000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,295000000,2019,53000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,290000000,2016,99000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,313000000,2015,86000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Suzuki,Ertiga,258000000,2023,6000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,349000000,2022,14000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,376000000,2022,12000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,320000000,2021,50000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,335000000,2021,46000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,325000000,2020,83000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,329000000,2020,16000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,355000000,2020,40000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,265000000,2019,90000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,346000000,2019,54000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Veloz,185000000,2018,62000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,315000000,2018,63000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Nissan,Grand Livina,136000000,2015,78000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,178000000,2014,91000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,212000000,2013,200000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,444000000,2022,44000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,360000000,2021,45000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,437000000,2021,17000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Honda,Mobilio,168000000,2019,50000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,268000000,2019,72000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,348000000,2019,87766.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,361000000,2019,80000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,271000000,2018,75000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,161000000,2017,46000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,335000000,2017,90000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,301000000,2017,102000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,269000000,2016,70000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Nissan,Grand Livina,110000000,2015,60000.0,Jakarta Pusat,Bensin,CVT
MPV,Honda,Mobilio,119000000,2015,100000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,150000000,2012,148000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,218000000,2024,30000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Veloz,195000000,2021,15000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Veloz,174000000,2017,68000.0,Jakarta Pusat,Bensin,CVT
MPV,Nissan,Grand Livina,117000000,2013,118000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,180000000,2010,98000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza,89000000,2011,132000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,395000000,2021,86000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Honda,Mobilio,140000000,2015,126000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Rush,145000000,2015,102000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Rush,230000000,2020,40000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,160000000,2017,57000.0,Jakarta Pusat,Bensin,CVT
MPV,Suzuki,Ertiga,125000000,2013,152553.0,Jakarta Pusat,Bensin,Manual
MPV,Honda,Mobilio,150000000,2014,71000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Calya,145000000,2021,5618.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,155000000,2015,60000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,325000000,2021,31000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Rush,218000000,2018,53000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,245000000,2017,78000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Suzuki,Ertiga,135000000,2015,93000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Nissan,Grand Livina,80000000,2010,167000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,205000000,2013,162000.0,Jakarta Pusat,Diesel,Manual
MPV,Toyota,Kijang Innova,245000000,2017,12345.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza Veloz,165000000,2018,95000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza Veloz,147000000,2016,91000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang,75000000,2002,90000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,240000000,2013,199000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Honda,Mobilio,135000000,2015,92000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,125000000,2009,14000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,310000000,2021,52000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,400000000,2022,17000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Nissan,Grand Livina,100000000,2013,130000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,390000000,2019,34000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,225000000,2016,141000.0,Jakarta Pusat,Bensin,Manual
MPV,Suzuki,Ertiga,210000000,2022,10000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,260000000,2018,12345.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,320000000,2022,61000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,200000000,2022,30000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,390000000,2023,34000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza,167000000,2017,55000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,295000000,2022,61000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,155000000,2020,12345.0,Jakarta Pusat,Bensin,Otomatis
MPV,Nissan,Grand Livina,126000000,2016,63000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,330000000,2015,88692.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Veloz,140000000,2014,130000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,219000000,2021,16000.0,Jakarta Pusat,Bensin,CVT
MPV,Daihatsu,Xenia,167000000,2017,48000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,222000000,2023,28000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Avanza,179000000,2020,58000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,173000000,2019,78000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,200000000,2021,48000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,345000000,2021,51000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,247000000,2016,109000.0,Jakarta Pusat,Bensin,Manual
MPV,Nissan,Grand Livina,111000000,2014,102000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,228000000,2012,1234.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza Veloz,125000000,2012,110000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Calya,148000000,2024,5834.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,302000000,2022,31699.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,330000000,2019,75000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Suzuki,Ertiga,125680000,2016,119856.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,120000000,2013,123900.0,Bandung,Bensin,Otomatis
MPV,Toyota,Kijang,91000000,2003,182000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,277000000,2021,123000.0,Jakarta Pusat,Bensin,Manual
MPV,Honda,Mobilio,185000000,2019,34000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,169000000,2014,41000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Kijang Innova,228000000,2012,1234.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,325000000,2019,90000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza,112000000,2009,65000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,205000000,2023,24491.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,245000000,2018,80568.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,190000000,2013,112855.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,180000000,2021,46000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Avanza,170000000,2020,45000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,310000000,2017,193000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,287000000,2016,74000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,190000000,2010,163123.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,265000000,2018,89962.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,245000000,2018,40000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Calya,148000000,2023,28521.0,Surabaya,Bensin,Manual
MPV,Suzuki,Ertiga,198000000,2023,3934.0,Surabaya,Bensin,Manual
MPV,Toyota,Calya,115000000,2018,119826.0,Surabaya,Bensin,Manual
MPV,Toyota,Kijang Innova,335000000,2020,81000.0,Jakarta Utara,Diesel,Otomatis
MPV,Toyota,Kijang Innova,258000000,2013,128000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,595000000,2023,52000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,398000000,2020,40000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza,178000000,2019,35000.0,Jakarta Pusat,Bensin,CVT
MPV,Suzuki,Ertiga,169000000,2018,68000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,244000000,2016,130000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,147000000,2015,50000.0,Jakarta Pusat,Bensin,CVT
MPV,Toyota,Kijang Innova,151000000,2013,188000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,105000000,2008,96000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,255000000,2016,71459.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,395000000,2021,39827.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Kijang Innova,375000000,2022,8000.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza,202000000,2024,9000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,210000000,2022,29000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,190000000,2020,46000.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,187000000,2021,68000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Daihatsu,Xenia,137000000,2018,86000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Avanza,90000000,2008,12345.0,Jakarta Pusat,Bensin,Manual
MPV,Toyota,Avanza,92000000,2007,145000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,150000000,2018,87000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,165000000,2014,184000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Toyota,Kijang Innova,425000000,2025,1731.0,Jakarta Pusat,Diesel,Otomatis
MPV,Toyota,Avanza,140000000,2013,79282.0,Jakarta Pusat,Bensin,Otomatis
MPV,Nissan,Grand Livina,105000000,2014,110000.0,Jakarta Pusat,Bensin,Otomatis
MPV,Honda,Mobilio,175000000,2020,69589.0,Surabaya,Bensin,CVT
MPV,Honda,Mobilio,145000000,2018,122774.0,Tangerang Selatan,Bensin,Otomatis
MPV,Toyota,Avanza,90000000,2010,12345.0,Jakarta Pusat,Bensin,Otomatis
MPV,Suzuki,Ertiga,179000000,2021,103014.0,Tangerang Selatan,Bensin,Otomatis
MPV,Toyota,Avanza,140000000,2017,175369.0,Tangerang Selatan,Bensin,Manual
MPV,Toyota,Kijang Innova,120000000,2010,135000.0,Jakarta Pusat,Bensin,Manual
